koi_period,koi_period_err1,koi_period_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
54.4183827,0.0002479,-0.0002479,0.586,0.059,-0.443,4.507,0.116,-0.116,874.8,35.5,-35.5,2.83,0.32,-0.19,,,9.11,2.87,-1.62,25.8,5455.0,81.0,-81.0,4.467,0.064,-0.096,0.927,0.105,-0.061,291.93423,48.141651,15.347
1.736952453,2.63e-07,-2.63e-07,1.276,0.115,-0.092,2.40641,0.00537,-0.00537,8079.2,12.8,-12.8,33.46,8.5,-2.83,,,891.96,668.95,-230.35,505.6,5805.0,157.0,-174.0,4.564,0.053,-0.168,0.791,0.201,-0.067,285.53461,48.28521,15.597
2.525591777,3.761e-06,-3.761e-06,0.701,0.235,-0.478,1.6545,0.042,-0.042,603.3,16.9,-16.9,2.75,0.88,-0.35,,,926.16,874.33,-314.24,40.9,6031.0,169.0,-211.0,4.438,0.07,-0.21,1.046,0.334,-0.133,288.75488,48.2262,15.509
2.56658897,1.781e-05,-1.781e-05,0.755,0.212,-0.523,2.429,0.165,-0.165,226.5,16.8,-16.8,1.59,0.52,-0.17,,,807.74,793.91,-258.2,15.0,6046.0,189.0,-232.0,4.486,0.054,-0.229,0.972,0.315,-0.105,296.28613,48.22467,15.714
7.36178958,2.128e-05,-2.128e-05,1.169,7.133,-0.044,5.022,0.136,-0.136,233.7,5.8,-5.8,39.21,6.45,-9.67,,,767.22,349.28,-365.49,47.7,6227.0,111.0,-124.0,3.986,0.182,-0.098,1.958,0.322,-0.483,298.86435,42.151569,12.66
2.470613377,2.7e-08,-2.7e-08,0.818,0.001,-0.001,1.74319,0.00107,-0.00107,14231.0,4.2,-4.2,13.04,0.51,-0.51,,,761.46,106.21,-95.76,4304.3,5820.0,78.0,-78.0,4.457,0.024,-0.024,0.964,0.038,-0.038,286.80847,49.316399,11.338
2.204735417,4.3e-08,-4.3e-08,0.224,0.159,-0.216,3.88864,0.00203,-0.00203,6674.7,1.7,-1.7,16.1,0.81,-0.91,,,4148.92,651.59,-654.46,5945.9,6440.0,76.0,-89.0,4.019,0.033,-0.027,1.952,0.099,-0.11,292.24728,47.969521,10.463
3.522498429,1.98e-07,-1.98e-07,0.631,0.007,-0.007,3.19843,0.00653,-0.00653,9145.7,6.6,-6.6,14.59,1.11,-1.11,,,1264.67,307.23,-276.48,1741.5,6225.0,112.0,-137.0,4.169,0.055,-0.045,1.451,0.11,-0.11,281.28812,42.45108,13.563
11.521446064,1.98e-06,-1.98e-06,2.483,2.851,-0.673,3.6399,0.0114,-0.0114,17984.0,31.9,-31.9,150.51,39.76,-13.31,,,75.88,58.89,-19.99,622.1,5795.0,155.0,-172.0,4.554,0.033,-0.176,0.848,0.224,-0.075,297.07993,47.597401,15.472
19.40393776,2.068e-05,-2.068e-05,0.804,0.007,-0.005,12.2155,0.0598,-0.0598,8918.7,53.3,-53.3,7.18,0.76,-0.68,,,17.69,6.66,-4.88,214.7,5043.0,151.0,-151.0,4.591,0.072,-0.048,0.68,0.072,-0.065,289.25821,47.635319,15.487
16.46983774,1.361e-05,-1.361e-05,0.292,0.118,-0.101,9.4378,0.06,-0.06,10479.0,39.9,-39.9,7.94,0.89,-0.89,,,29.61,12.01,-8.91,303.4,5152.0,168.0,-153.0,4.517,0.088,-0.072,0.786,0.088,-0.088,297.15442,47.668701,15.788
9.27358173,1.037e-05,-1.037e-05,0.387,0.004,-0.386,3.2875,0.0309,-0.0309,1288.3,16.8,-16.8,2.47,0.2,-0.24,,,41.85,12.49,-11.7,87.2,4856.0,131.0,-146.0,4.583,0.065,-0.035,0.696,0.056,-0.068,288.13824,47.724449,15.302
6.02930329,5.509e-06,-5.509e-06,0.258,0.196,-0.258,1.5821,0.0311,-0.0311,1912.7,34.4,-34.4,2.85,0.26,-0.15,,,50.04,16.4,-9.88,65.4,4537.0,123.0,-123.0,4.648,0.02,-0.056,0.672,0.062,-0.036,283.71088,47.86327,15.784
2.696370652,7.534e-06,-7.534e-06,0.044,0.36,-0.044,3.6129,0.0686,-0.0686,397.9,9.5,-9.5,1.58,0.13,-0.16,,,305.34,96.64,-86.33,48.2,4989.0,149.0,-149.0,4.504,0.09,-0.06,0.819,0.067,-0.082,283.76547,47.804298,15.269
8.10904807,6.787e-05,-6.787e-05,0.025,0.425,-0.025,3.596,0.198,-0.198,217.4,16.8,-16.8,1.3,0.09,-0.12,,,97.03,19.9,-22.09,14.1,5185.0,85.0,-77.0,4.44,0.098,-0.045,0.91,0.057,-0.086,292.37613,47.880989,15.416
386.6030528,0.0001369,-0.0001369,0.9765,0.0497,-0.0268,6.8057,0.0184,-0.0184,24927.0,45.8,-45.8,41.5,1.68,-1.68,,,1.84,0.26,-0.24,994.0,5543.0,79.0,-79.0,4.081,0.014,-0.014,1.58,0.064,-0.064,292.27374,37.671558,12.394
4.99677968,1.389e-05,-1.389e-05,0.71,0.006,-0.533,2.1717,0.0762,-0.0762,934.7,39.7,-39.7,2.78,0.52,-0.23,,,166.95,102.06,-42.14,28.2,5339.0,175.0,-159.0,4.552,0.034,-0.136,0.847,0.161,-0.069,297.80826,47.946671,15.861
4.280963604,6.141e-06,-6.141e-06,0.424,0.112,-0.356,2.875,0.042,-0.042,750.8,14.1,-14.1,2.3,0.58,-0.19,,,247.87,182.24,-63.32,61.8,5644.0,152.0,-169.0,4.564,0.032,-0.168,0.831,0.207,-0.069,294.26581,49.314091,15.356
1.50635409,4.7e-07,-4.7e-07,0.86,0.042,-0.125,1.5155,0.0483,-0.0483,2211.7,18.3,-18.3,4.53,1.01,-0.44,,,1054.12,703.1,-292.26,181.1,5714.0,155.0,-172.0,4.563,0.04,-0.16,0.831,0.186,-0.08,295.66522,49.351009,15.525
670.645531,0.001237,-0.001237,0.701,0.004,-0.005,53.412,0.131,-0.131,18091.0,33.5,-33.5,14.14,2.13,-0.71,,,0.35,0.15,-0.06,642.7,5520.0,100.0,-111.0,4.466,0.032,-0.12,0.983,0.148,-0.049,296.69861,49.316479,15.207
61.2563628,0.000156,-0.000156,1.248,6.912,-0.067,7.633,0.105,-0.105,5123.3,70.6,-70.6,39.87,12.79,-5.48,,,15.43,14.85,-5.51,85.3,6144.0,184.0,-220.0,4.402,0.072,-0.217,1.091,0.35,-0.15,283.72592,49.479519,15.25
38.3775486,0.0001602,-0.0001602,0.468,0.461,-0.267,5.588,0.113,-0.113,724.2,23.4,-23.4,2.82,0.37,-0.34,,,18.53,6.72,-4.93,34.7,5481.0,82.0,-74.0,4.369,0.121,-0.099,1.036,0.138,-0.124,291.72202,49.480869,15.172
