,period_d,rp_re,insol_eflux,eq_temp,teff_k,logg_cgs,rstar_rsun,ra_deg,dec_deg,mission,label,star_key
0,19.89913995,14.6,39.3,638.0,5853.0,4.544,0.868,297.00482,48.134129,KEPLER,,297.00482_48.13413
1,40.4195037,7.51,11.29,467.0,5446.0,4.507,0.781,294.31686,50.080231,KEPLER,,294.31686_50.08023
2,7.2406612,19.45,68.63,734.0,5005.0,4.595,0.765,293.83331,50.23035,KEPLER,,293.83331_50.23035
3,3.43591631,0.55,617.61,1272.0,5779.0,4.339,1.087,287.88733,46.276241,KEPLER,,287.88733_46.27624
4,10.181584004,7.73,102.91,812.0,5988.0,4.541,0.836,291.28195,38.241669,KEPLER,,291.28195_38.24167
5,19.620346923,13.6,40.39,643.0,5710.0,4.492,0.905,293.81619,38.563568,KEPLER,,293.81619_38.56357
6,34.84398644,7.61,16.1,511.0,5509.0,4.482,0.871,285.92001,39.624828,KEPLER,,285.92001_39.62483
7,4.64090031,30.09,421.08,1155.0,6463.0,4.5,0.826,295.11371,40.071171,KEPLER,,295.11371_40.07117
8,1.028436523,72.77,3400.48,1947.0,6228.0,4.428,0.99,296.00699,40.295429,KEPLER,,296.00699_40.29543
9,235.9986399,10.59,0.29,188.0,4245.0,4.627,0.657,293.00797,42.307201,KEPLER,,293.00797_42.3072
10,39.74893077,14.21,21.87,552.0,6122.0,4.487,0.964,293.17929,41.969238,KEPLER,,293.17929_41.96924
11,13.61014819,19.02,68.29,733.0,5697.0,4.46,0.903,289.89777,42.009151,KEPLER,,289.89777_42.00915
12,119.0207044,8.98,4.25,366.0,5453.0,4.342,1.062,291.58377,42.36816,KEPLER,,291.58377_42.36816
13,12.940668656,22.94,64.64,723.0,5875.0,4.572,0.809,291.11969,42.507069,KEPLER,,291.11969_42.50707
14,2.688899233,12.04,175.76,929.0,4820.0,4.667,0.639,296.68307,42.967869,KEPLER,,296.68307_42.96787
15,12.732624065,4.87,8.22,432.0,3950.0,4.721,0.541,285.16748,43.876339,KEPLER,,285.16748_43.87634
16,83.92494032,4.78,0.62,226.0,3960.0,4.746,0.509,287.85239,43.897991,KEPLER,,287.85239_43.89799
17,3.886655224,1.87,246.29,1010.0,5662.0,4.61,0.738,288.72665,44.60751,KEPLER,,288.72665_44.60751
18,2.494170338,2.42,480.19,1194.0,5569.0,4.566,0.829,284.75943,45.599129,KEPLER,,284.75943_45.59913
19,39.4759093,4.06,26.13,577.0,6225.0,4.45,1.031,291.20804,45.244389,KEPLER,,291.20804_45.24439
20,9.61731426,1.94,246.13,1010.0,6035.0,4.22,1.257,294.02301,45.853081,KEPLER,,294.02301_45.85308
21,90.1240507,7.12,13.09,485.0,6520.0,4.375,1.215,293.22391,38.033581,KEPLER,,293.22391_38.03358
22,856.672115,3.87,0.81,242.0,6449.0,4.232,1.309,287.58679,47.600021,KEPLER,,287.58679_47.60002
23,0.689210173,1.32,3362.71,1943.0,5630.0,4.505,0.954,281.55118,47.469959,KEPLER,,281.55118_47.46996
24,3.9886021,34.39,23135.72,3145.0,4813.0,2.472,13.652,289.09323,49.424484,KEPLER,,289.09323_49.42448
25,0.533059312,133.56,277887.7,5862.0,8523.0,3.559,4.051,286.0192,48.866741,KEPLER,,286.0192_48.86674
26,129995.7784,2.99,0.0,25.0,4500.0,4.572,0.726,296.82162,47.354031,KEPLER,,296.82162_47.35403
27,13.118962443,8.25,2310.43,1768.0,7221.0,3.488,4.24,282.00031,48.542221,KEPLER,,282.00031_48.54222
