,star_key
4,288.75488_48.2262
5,296.28613_48.22467
6,296.28613_48.22467
7,296.28613_48.22467
8,298.86435_42.15157
10,286.80847_49.3164
11,292.24728_47.96952
13,295.64871_48.49556
14,297.07993_47.5974
15,289.25821_47.63532
16,295.81454_47.69035
17,297.15442_47.6687
18,288.13824_47.72445
19,283.71088_47.86327
20,283.76547_47.8043
21,292.37613_47.88099
22,292.37613_47.88099
23,292.37613_47.88099
24,292.27374_37.67156
26,297.80826_47.94667
27,294.26581_49.31409
28,295.66522_49.35101
30,283.72592_49.47952
31,291.72202_49.48087
35,285.71854_48.50586
36,285.71854_48.50586
37,292.16705_48.72759
38,297.92365_48.77732
39,298.45685_48.79159
40,291.0939_48.93384
42,295.55505_49.01734
43,285.49924_49.27735
44,291.93616_49.25398
45,297.01547_49.22529
46,284.17233_49.36072
47,291.62241_50.61824
48,295.81616_51.12174
49,295.81616_51.12174
50,289.39972_51.25032
51,300.86398_44.33755
53,288.98682_49.73374
57,290.78574_50.05412
59,285.17621_50.14982
60,289.23553_50.241
64,296.22195_50.28722
65,290.09805_50.32161
66,295.45529_50.49456
67,293.97336_50.53191
68,293.97336_50.53191
69,296.02133_50.56778
70,300.86398_44.33755
71,292.31595_38.27029
72,294.36819_38.31028
75,291.0448_51.32167
76,296.36652_51.31952
77,296.36652_51.31952
81,291.43997_37.90566
82,290.87051_38.27363
85,286.07913_39.27832
86,286.07913_39.27832
87,300.86398_44.33755
88,286.07913_39.27832
89,294.65524_39.30836
90,294.71063_39.52174
91,293.87192_38.42294
93,293.94116_38.6011
94,290.33362_38.72823
95,287.69675_38.88645
96,285.28363_38.94728
97,300.86398_44.33755
98,285.28363_38.94728
99,285.28363_38.94728
100,286.92639_38.92163
101,287.74881_38.92955
103,287.09399_39.06072
104,289.31543_39.15328
105,286.07913_39.27832
106,295.37805_40.4934
107,290.46176_40.56246
108,297.02826_48.20861
109,290.46176_40.56246
110,290.46176_40.56246
111,290.58173_40.5774
113,294.4899_39.77144
114,283.86639_39.89808
115,283.86639_39.89808
119,291.06152_50.26513
120,297.02826_48.20861
121,294.77686_40.15374
122,283.53845_40.218
124,283.25354_40.35819
125,283.22141_40.42183
126,283.22141_40.42183
128,294.22397_40.41786
129,298.96112_40.86281
130,299.3161_40.82238
131,292.23676_41.08588
132,297.02826_48.20861
133,292.23676_41.08588
134,294.05676_40.54968
136,295.50439_40.50549
137,287.89713_40.63782
138,287.89713_40.63782
139,287.89713_40.63782
140,287.89713_40.63782
141,297.02826_48.20861
142,287.89713_40.63782
143,294.20215_40.66341
144,294.20215_40.66341
145,299.64285_40.69124
146,291.15878_40.75027
147,291.15878_40.75027
148,292.21436_40.75976
149,293.87811_41.66177
152,286.5657_41.8084
153,286.5657_41.8084
154,292.23676_41.08588
155,292.91312_41.06092
156,292.91312_41.06092
157,293.49661_41.13759
159,288.51001_41.30177
160,296.88821_41.39609
161,287.1543_41.56579
162,284.86929_41.67919
163,287.36279_38.6496
164,288.9942_41.63328
165,292.10519_42.38032
167,291.63898_42.43632
168,291.63898_42.43632
169,291.63898_42.43632
171,291.76041_41.94407
173,285.11047_42.03396
174,294.55917_46.06233
175,285.11047_42.03396
177,286.24356_42.14881
178,290.00757_42.11646
179,284.08731_42.23323
180,293.81647_42.2125
181,287.24268_42.30137
182,287.24268_42.30137
183,287.24268_42.30137
185,294.55917_46.06233
186,291.67172_42.34311
187,292.87338_42.96614
188,292.87338_42.96614
189,292.87338_42.96614
190,292.87338_42.96614
191,294.90973_42.93526
192,291.63898_42.43632
197,289.26874_42.60417
198,289.26874_42.60417
199,291.96417_42.69614
200,296.48343_42.66343
201,296.48343_42.66343
202,296.69394_42.62611
204,293.63696_42.82497
205,293.63696_42.82497
206,293.63696_42.82497
207,294.46088_38.38346
208,297.46002_42.83992
209,290.39273_40.28487
212,292.96555_43.34639
213,299.00143_43.39963
214,294.90973_42.93526
215,295.83536_42.94306
217,288.64252_43.03929
218,284.48245_44.39804
219,288.64252_43.03929
220,288.64252_43.03929
221,294.77393_43.0563
222,294.77393_43.0563
223,294.77393_43.0563
224,295.65149_43.02983
226,291.1376_36.57738
227,282.69952_43.27274
228,283.63077_43.3794
229,297.45374_41.01099
232,295.53613_43.88445
233,285.16833_44.02646
234,285.16833_44.02646
235,292.92914_48.60281
236,296.41019_43.45539
239,299.56189_43.50356
242,290.39273_40.28487
244,296.98505_43.65852
245,296.98505_43.65852
246,296.98505_43.65852
247,281.96063_43.70311
248,290.26328_44.55645
249,290.26328_44.55645
250,295.57935_44.54596
251,295.57935_44.54596
252,284.83047_44.65814
254,285.16833_44.02646
255,285.16833_44.02646
256,285.16833_44.02646
257,296.50754_44.03607
258,289.59476_44.14195
259,289.59476_44.14195
260,289.59476_44.14195
264,292.92914_48.60281
267,298.67862_44.1755
268,284.43051_44.48053
270,285.55481_45.57886
271,293.68494_45.51683
272,296.39316_45.56856
274,288.90222_49.37049
275,282.30603_44.71466
276,293.45483_44.79279
277,301.04956_44.7063
278,283.97751_44.81156
279,290.63898_44.80679
280,291.71732_44.88731
281,291.84198_44.85809
282,291.84198_44.85809
283,291.84198_44.85809
284,294.84689_45.03441
285,297.47586_41.11429
286,291.09235_45.11553
288,289.72748_45.36766
289,286.36011_45.41429
290,294.71768_45.48576
291,292.58044_46.09739
292,292.58044_46.09739
293,292.58044_46.09739
294,292.58044_46.09739
295,297.04562_46.02736
296,289.60797_44.34542
298,288.1647_45.81651
299,288.1647_45.81651
300,288.1647_45.81651
301,294.02301_45.85308
302,294.02301_45.85308
303,294.02301_45.85308
305,283.73203_45.95877
306,283.73203_45.95877
307,296.20059_49.14012
308,293.01828_45.91469
309,296.06424_45.97684
310,296.06424_45.97684
311,296.06424_45.97684
312,296.81772_46.78151
313,290.41327_38.34375
314,290.41327_38.34375
315,290.41327_38.34375
317,296.98102_43.20975
320,296.23215_47.67896
321,297.10349_47.64357
322,290.91119_38.33558
323,281.66916_42.03864
324,295.26682_38.61124
325,287.61633_39.12724
328,295.09866_41.00704
329,298.13589_41.33206
331,298.77325_41.21473
332,292.61194_43.30514
334,291.17068_38.00859
335,294.52557_38.20463
336,292.7131_38.35821
337,292.7131_38.35821
339,286.49042_38.37491
340,292.77588_47.46169
341,295.79526_47.66396
343,295.92065_47.44861
344,295.92065_47.44861
345,292.0683_38.84227
347,297.31006_49.70304
350,287.36182_38.71402
351,290.94437_38.53887
352,298.9917_41.07499
353,291.82181_41.11269
354,296.86099_41.09734
355,296.86099_41.09734
356,294.16321_41.4518
357,299.39972_45.31605
358,286.49042_38.37491
359,286.49042_38.37491
360,291.6069_38.34806
361,287.44409_38.08843
362,292.27905_38.28453
365,296.13391_38.99901
366,293.92599_38.73798
367,286.86926_39.10373
369,292.71964_48.85202
370,284.02679_49.41543
371,298.80411_40.84356
372,295.59872_50.72067
374,291.76196_37.09864
375,295.58658_45.36498
376,290.51047_41.24482
377,290.51047_41.24482
378,290.51047_41.24482
379,290.51047_41.24482
380,290.60794_41.20109
382,291.97617_38.05508
383,291.97617_38.05508
384,290.13492_38.40422
385,291.42358_38.21659
386,295.29193_38.96459
387,291.44507_38.63721
388,285.08026_39.18211
390,294.74054_39.01551
391,300.51712_44.38158
392,289.87411_49.68549
393,291.0488_36.83988
394,298.44775_47.265
395,291.92596_38.01412
396,291.92596_38.01412
399,288.44287_41.17218
400,293.2735_41.25769
401,298.13794_41.33436
402,286.49072_37.48998
403,290.88467_38.05757
406,294.49011_38.19413
408,293.80441_38.63913
410,293.80441_38.63913
411,300.51712_44.38158
413,291.36478_37.60917
414,291.36478_37.60917
415,296.38229_48.04531
416,296.38229_48.04531
417,285.24084_46.66825
419,296.68045_41.38652
420,293.08463_41.13544
421,293.08463_41.13544
422,293.08463_41.13544
423,294.49011_38.19413
424,297.75708_41.68045
425,290.35294_41.76974
426,298.71152_41.63579
427,292.23679_41.7393
428,296.29855_41.60272
432,291.69247_38.5729
433,300.51712_44.38158
434,293.56815_39.03632
436,293.47363_46.9704
437,296.49612_47.18286
438,291.49942_37.05928
440,293.08463_41.13544
441,299.15353_40.28696
442,290.1315_41.3815
443,297.98123_41.44487
444,299.0209_44.17276
446,294.1434_39.08978
447,299.13922_40.94902
448,294.02725_41.67597
449,297.75311_41.67599
450,290.21518_41.77597
451,291.07126_38.99904
452,294.07071_38.98133
454,294.61893_38.61189
455,293.87363_38.92248
459,293.71075_38.98361
460,293.67657_38.99138
461,290.77863_37.56408
462,289.87347_43.20384
463,295.03925_44.19106
467,287.5932_44.17942
468,290.21518_41.77597
470,291.43329_41.70344
471,287.27264_41.63556
472,282.60336_44.28698
474,292.92276_38.47728
476,292.47971_38.51492
477,292.47971_38.51492
478,292.47971_38.51492
480,291.38269_37.07299
481,292.46976_37.56779
482,292.46976_37.56779
483,291.07446_37.74439
484,292.04462_37.37624
485,287.5932_44.17942
487,294.48438_44.16691
488,294.48438_44.16691
490,294.99734_44.32139
491,299.13922_40.94902
492,284.51962_44.45394
493,284.51962_44.45394
494,301.40067_44.31804
495,298.21188_44.32464
496,293.56815_39.03632
497,293.56815_39.03632
498,290.0004_38.53989
501,292.04462_37.37624
503,290.32791_37.72674
504,292.89935_37.65606
505,288.4165_41.0298
506,295.51108_44.10926
507,290.5036_44.14358
509,291.27563_47.32949
510,299.70078_47.29175
511,297.39066_47.25571
512,284.99738_44.4102
513,296.29196_44.33226
514,301.47577_44.31976
515,282.72406_44.34647
517,296.30762_44.21146
519,297.00943_50.37232
522,284.68887_46.17225
523,298.07944_44.74632
524,299.65094_40.97328
525,292.26291_37.23699
526,291.69672_37.23804
527,291.15338_36.67884
528,291.35403_36.78452
529,289.71466_47.34222
530,291.14807_40.6694
531,299.83041_47.15746
532,299.83041_47.15746
533,299.83041_47.15746
534,296.33435_47.14558
535,299.13922_40.94902
536,292.85965_44.20064
538,285.62854_44.31089
539,291.89075_44.22373
540,285.39133_46.18094
541,294.79974_46.20757
542,297.9516_46.26472
543,297.9516_46.26472
544,296.65915_46.38217
545,297.62027_40.94309
546,300.45575_43.93435
547,293.38556_41.34982
548,299.89722_43.90391
549,289.09689_44.00438
550,297.78802_47.10107
552,292.14447_47.15735
553,292.14447_47.15735
554,292.14447_47.15735
555,282.2001_44.4223
556,282.2001_44.4223
558,281.76639_44.29255
559,283.00296_44.28423
560,283.00296_44.28423
562,287.56967_46.56786
564,290.06799_46.57914
566,294.06848_46.57933
567,298.07944_44.74632
568,289.09689_44.00438
569,295.4722_44.07738
571,297.49332_44.05187
573,297.39319_47.16463
574,290.10333_39.78163
575,294.59613_47.19745
576,281.05011_47.18815
577,283.1846_47.15567
578,293.24384_38.27327
580,296.69562_47.32731
581,296.32028_47.40657
583,292.83301_47.49553
584,281.5238_47.75534
585,294.06848_46.57933
586,297.84241_46.57427
587,297.84241_46.57427
588,297.84241_46.57427
589,297.84241_46.57427
590,297.84241_46.57427
591,292.93085_37.60664
592,287.13388_37.83926
593,292.26813_37.95564
594,291.85382_37.74192
595,291.90326_37.90229
596,298.07944_44.74632
597,290.63943_38.28463
598,294.4335_38.35545
599,294.4335_38.35545
600,290.862_38.35358
601,286.00031_38.2846
602,293.02512_37.99264
603,292.84213_47.48383
604,296.69971_47.40673
605,297.01483_47.48643
606,287.65363_47.41481
608,286.48227_46.69245
609,286.97119_46.86836
610,299.09753_43.49759
613,291.10846_37.85779
615,292.29099_37.5808
618,296.52429_39.24976
619,292.58304_38.37438
620,293.18454_37.96984
623,290.89407_38.43503
624,296.98102_43.20975
627,288.86823_47.75943
628,291.30222_47.69776
629,289.4317_46.61753
630,283.86603_46.78959
633,287.55972_46.95708
634,295.47067_44.01074
636,297.82956_41.14195
638,297.52545_41.26184
639,291.98337_41.55511
641,292.85608_38.37257
642,291.57916_38.03583
643,289.76483_38.35236
645,290.41327_38.34375
646,291.30222_47.69776
647,292.73892_47.49073
648,291.06293_47.4848
649,291.06293_47.4848
651,297.13327_47.62877
652,292.21906_44.61916
653,292.21906_44.61916
654,294.41245_45.13085
655,292.21906_44.61916
656,288.49948_47.99647
657,290.11569_38.40419
658,299.26038_41.42023
659,295.16049_41.0793
660,298.47424_41.07589
661,297.52863_41.25991
662,298.33893_41.07348
663,298.20035_41.01169
664,286.41_42.68155
665,286.41_42.68155
666,286.41_42.68155
667,295.3045_42.47529
669,283.20917_48.77764
670,283.20917_48.77764
671,287.85773_48.77411
674,294.21893_49.47922
681,291.3909_48.06561
682,291.3909_48.06561
683,290.67615_48.29429
684,290.67615_48.29429
685,290.67615_48.29429
689,295.76614_42.42428
690,295.76614_42.42428
691,283.03979_48.82536
692,283.03979_48.82536
693,283.03979_48.82536
695,283.20697_48.5805
697,287.14944_42.10521
699,292.23724_42.15429
700,292.47821_42.14229
701,290.67615_48.29429
704,297.11511_41.90914
705,285.42429_47.83461
706,295.76614_42.42428
707,295.76614_42.42428
708,295.76614_42.42428
709,281.43735_42.72527
710,286.35806_42.40651
711,283.20697_48.5805
712,283.20697_48.5805
713,283.20697_48.5805
714,287.05701_49.04602
715,283.50479_49.45102
717,283.46991_45.05246
718,289.40573_44.51694
720,290.26767_44.71285
723,285.66269_48.43537
724,283.53296_48.09426
725,284.91049_48.43164
726,286.66568_48.14458
727,286.35806_42.40651
728,299.40701_44.03505
730,286.88727_42.47126
731,290.20236_42.95589
733,295.2887_48.59972
734,295.2887_48.59972
735,283.98297_49.23299
736,283.98297_49.23299
737,284.28253_44.98723
738,301.35507_44.49227
739,294.12143_48.34952
740,299.07388_44.43168
742,301.04239_45.02289
743,285.2211_47.88138
745,290.55237_48.12626
747,297.11511_41.90914
749,293.46902_42.82241
750,282.33279_42.46382
751,295.87634_42.36482
752,296.3999_42.3871
753,292.05478_42.33025
754,295.78595_42.84428
755,283.98297_49.23299
756,284.84662_49.6924
757,293.28827_48.81162
758,290.85178_48.52134
759,293.08447_48.57539
760,291.22519_44.92738
761,294.10818_44.7707
762,294.10818_44.7707
763,294.10818_44.7707
764,293.61743_45.0167
766,296.47937_39.12757
767,293.36285_39.21245
768,295.73193_39.58752
769,296.73502_39.1878
771,291.01358_42.28313
772,299.54376_40.86026
773,295.05429_42.75684
774,295.51068_42.93056
775,280.94385_42.83918
776,294.74207_43.53683
777,282.79764_43.57813
778,293.35129_43.13464
779,283.2413_46.37847
780,293.28156_43.05581
781,296.39639_44.96304
782,287.1749_44.87857
783,294.12143_48.34952
784,287.1749_44.87857
785,296.93393_44.85364
787,296.08185_39.16162
