,star_key
3,288.75488_48.2262
4,296.28613_48.22467
5,296.28613_48.22467
6,296.28613_48.22467
7,298.86435_42.15157
9,286.80847_49.3164
10,292.24728_47.96952
12,295.64871_48.49556
13,297.07993_47.5974
14,289.25821_47.63532
15,295.81454_47.69035
16,297.15442_47.6687
17,288.13824_47.72445
18,283.71088_47.86327
19,283.76547_47.8043
20,292.37613_47.88099
21,292.37613_47.88099
22,292.37613_47.88099
23,292.27374_37.67156
25,297.80826_47.94667
26,294.26581_49.31409
27,295.66522_49.35101
29,283.72592_49.47952
30,291.72202_49.48087
34,285.71854_48.50586
35,285.71854_48.50586
36,292.16705_48.72759
37,297.92365_48.77732
38,298.45685_48.79159
39,291.0939_48.93384
41,295.55505_49.01734
42,285.49924_49.27735
43,291.93616_49.25398
44,297.01547_49.22529
45,284.17233_49.36072
46,291.62241_50.61824
47,295.81616_51.12174
48,295.81616_51.12174
49,289.39972_51.25032
50,300.86398_44.33755
52,288.98682_49.73374
56,290.78574_50.05412
57,285.17621_50.14982
58,289.23553_50.241
60,296.22195_50.28722
61,290.09805_50.32161
62,295.45529_50.49456
63,293.97336_50.53191
64,293.97336_50.53191
65,296.02133_50.56778
66,300.86398_44.33755
67,292.31595_38.27029
68,294.36819_38.31028
71,291.0448_51.32167
72,296.36652_51.31952
73,296.36652_51.31952
77,291.43997_37.90566
78,290.87051_38.27363
80,286.07913_39.27832
81,286.07913_39.27832
82,300.86398_44.33755
83,286.07913_39.27832
84,294.65524_39.30836
85,294.71063_39.52174
86,293.87192_38.42294
87,293.94116_38.6011
88,290.33362_38.72823
89,287.69675_38.88645
90,285.28363_38.94728
91,300.86398_44.33755
92,285.28363_38.94728
93,285.28363_38.94728
94,286.92639_38.92163
95,287.74881_38.92955
97,287.09399_39.06072
98,289.31543_39.15328
99,286.07913_39.27832
100,295.37805_40.4934
101,290.46176_40.56246
102,297.02826_48.20861
103,290.46176_40.56246
104,290.46176_40.56246
105,290.58173_40.5774
106,294.4899_39.77144
107,283.86639_39.89808
108,283.86639_39.89808
111,291.06152_50.26513
112,297.02826_48.20861
113,294.77686_40.15374
114,283.53845_40.218
115,283.25354_40.35819
116,283.22141_40.42183
117,283.22141_40.42183
119,294.22397_40.41786
120,298.96112_40.86281
121,299.3161_40.82238
122,292.23676_41.08588
123,297.02826_48.20861
124,292.23676_41.08588
125,294.05676_40.54968
127,295.50439_40.50549
128,287.89713_40.63782
129,287.89713_40.63782
130,287.89713_40.63782
131,287.89713_40.63782
132,297.02826_48.20861
133,287.89713_40.63782
134,294.20215_40.66341
135,294.20215_40.66341
136,299.64285_40.69124
137,291.15878_40.75027
138,291.15878_40.75027
139,292.21436_40.75976
140,293.87811_41.66177
143,286.5657_41.8084
144,286.5657_41.8084
145,292.23676_41.08588
146,292.91312_41.06092
147,292.91312_41.06092
148,293.49661_41.13759
150,288.51001_41.30177
151,296.88821_41.39609
152,287.1543_41.56579
153,284.86929_41.67919
154,287.36279_38.6496
155,288.9942_41.63328
156,292.10519_42.38032
157,291.63898_42.43632
158,291.63898_42.43632
159,291.63898_42.43632
161,291.76041_41.94407
162,285.11047_42.03396
163,294.55917_46.06233
164,285.11047_42.03396
165,286.24356_42.14881
166,290.00757_42.11646
167,284.08731_42.23323
168,293.81647_42.2125
169,287.24268_42.30137
170,287.24268_42.30137
171,287.24268_42.30137
172,294.55917_46.06233
173,291.67172_42.34311
174,292.87338_42.96614
175,292.87338_42.96614
176,292.87338_42.96614
177,292.87338_42.96614
178,294.90973_42.93526
179,291.63898_42.43632
183,289.26874_42.60417
184,289.26874_42.60417
185,291.96417_42.69614
186,296.48343_42.66343
187,296.48343_42.66343
188,296.69394_42.62611
190,293.63696_42.82497
191,293.63696_42.82497
192,293.63696_42.82497
193,294.46088_38.38346
194,297.46002_42.83992
195,290.39273_40.28487
198,292.96555_43.34639
199,299.00143_43.39963
200,294.90973_42.93526
201,295.83536_42.94306
202,288.64252_43.03929
203,284.48245_44.39804
204,288.64252_43.03929
205,288.64252_43.03929
206,294.77393_43.0563
207,294.77393_43.0563
208,294.77393_43.0563
209,295.65149_43.02983
211,291.1376_36.57738
212,282.69952_43.27274
213,283.63077_43.3794
214,297.45374_41.01099
215,295.53613_43.88445
216,285.16833_44.02646
217,285.16833_44.02646
218,292.92914_48.60281
219,296.41019_43.45539
222,299.56189_43.50356
225,290.39273_40.28487
227,296.98505_43.65852
228,296.98505_43.65852
229,296.98505_43.65852
230,281.96063_43.70311
231,290.26328_44.55645
232,290.26328_44.55645
233,295.57935_44.54596
234,295.57935_44.54596
235,284.83047_44.65814
236,285.16833_44.02646
237,285.16833_44.02646
238,285.16833_44.02646
239,296.50754_44.03607
240,289.59476_44.14195
241,289.59476_44.14195
242,289.59476_44.14195
246,292.92914_48.60281
249,298.67862_44.1755
250,284.43051_44.48053
251,285.55481_45.57886
252,293.68494_45.51683
253,296.39316_45.56856
255,288.90222_49.37049
256,282.30603_44.71466
257,293.45483_44.79279
258,301.04956_44.7063
259,283.97751_44.81156
260,290.63898_44.80679
261,291.71732_44.88731
262,291.84198_44.85809
263,291.84198_44.85809
264,291.84198_44.85809
265,294.84689_45.03441
266,297.47586_41.11429
267,291.09235_45.11553
268,289.72748_45.36766
269,286.36011_45.41429
270,294.71768_45.48576
271,292.58044_46.09739
272,292.58044_46.09739
273,292.58044_46.09739
274,292.58044_46.09739
275,297.04562_46.02736
276,289.60797_44.34542
278,288.1647_45.81651
279,288.1647_45.81651
280,288.1647_45.81651
281,294.02301_45.85308
282,294.02301_45.85308
283,294.02301_45.85308
284,283.73203_45.95877
285,283.73203_45.95877
286,296.20059_49.14012
287,293.01828_45.91469
288,296.06424_45.97684
289,296.06424_45.97684
290,296.06424_45.97684
291,296.81772_46.78151
292,290.41327_38.34375
293,290.41327_38.34375
294,290.41327_38.34375
295,296.98102_43.20975
296,296.23215_47.67896
297,297.10349_47.64357
298,290.91119_38.33558
299,281.66916_42.03864
300,295.26682_38.61124
301,287.61633_39.12724
302,295.09866_41.00704
303,298.13589_41.33206
305,298.77325_41.21473
306,292.61194_43.30514
308,291.17068_38.00859
309,294.52557_38.20463
310,292.7131_38.35821
311,292.7131_38.35821
313,286.49042_38.37491
314,292.77588_47.46169
315,295.79526_47.66396
316,295.92065_47.44861
317,295.92065_47.44861
318,292.0683_38.84227
319,297.31006_49.70304
320,287.36182_38.71402
321,290.94437_38.53887
322,298.9917_41.07499
323,291.82181_41.11269
324,296.86099_41.09734
325,296.86099_41.09734
326,294.16321_41.4518
327,299.39972_45.31605
328,286.49042_38.37491
329,286.49042_38.37491
330,291.6069_38.34806
331,287.44409_38.08843
332,292.27905_38.28453
334,296.13391_38.99901
335,293.92599_38.73798
336,286.86926_39.10373
338,292.71964_48.85202
339,284.02679_49.41543
340,298.80411_40.84356
341,295.59872_50.72067
343,291.76196_37.09864
344,295.58658_45.36498
345,290.51047_41.24482
346,290.51047_41.24482
347,290.51047_41.24482
348,290.51047_41.24482
349,290.60794_41.20109
351,291.97617_38.05508
352,291.97617_38.05508
353,290.13492_38.40422
354,291.42358_38.21659
355,295.29193_38.96459
356,291.44507_38.63721
357,285.08026_39.18211
359,294.74054_39.01551
360,300.51712_44.38158
361,289.87411_49.68549
362,291.0488_36.83988
363,298.44775_47.265
