,label
3,1
4,1
5,1
6,1
7,0
9,1
10,1
12,1
13,0
14,0
15,0
16,0
17,1
18,1
19,0
20,1
21,1
22,1
23,0
25,1
26,1
27,0
29,0
30,1
34,1
35,1
36,1
37,0
38,1
39,0
41,1
42,1
43,1
44,1
45,0
46,1
47,1
48,1
49,1
50,1
52,0
56,1
57,1
58,0
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,0
68,0
71,0
72,1
73,1
77,1
78,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,0
88,1
89,0
90,1
91,1
92,1
93,1
94,0
95,0
97,1
98,1
99,1
100,0
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
111,0
112,1
113,1
114,0
115,1
116,1
117,1
119,0
120,0
121,1
122,1
123,1
124,1
125,0
127,0
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,1
136,0
137,1
138,1
139,0
140,1
143,1
144,1
145,1
146,1
147,1
148,1
150,1
151,1
152,1
153,0
154,1
155,1
156,1
157,1
158,1
159,1
161,1
162,1
163,1
164,1
165,0
166,1
167,0
168,1
169,1
170,1
171,1
172,1
173,0
174,1
175,1
176,1
177,1
178,1
179,1
183,1
184,1
185,1
186,1
187,1
188,1
190,1
191,1
192,1
193,0
194,1
195,1
198,1
199,0
200,1
201,0
202,1
203,1
204,1
205,1
206,1
207,1
208,1
209,1
211,1
212,1
213,1
214,1
215,1
216,1
217,1
218,1
219,0
222,1
225,1
227,1
228,1
229,1
230,1
231,1
232,1
233,1
234,1
235,1
236,1
237,1
238,1
239,0
240,1
241,1
242,1
246,1
249,0
250,1
251,1
252,0
253,1
255,1
256,0
257,1
258,0
259,1
260,0
261,1
262,1
263,1
264,1
265,1
266,0
267,1
268,0
269,1
270,0
271,1
272,1
273,1
274,1
275,1
276,1
278,1
279,1
280,1
281,1
282,1
283,1
284,1
285,1
286,1
287,1
288,1
289,1
290,1
291,0
292,1
293,1
294,1
295,1
296,1
297,0
298,0
299,0
300,0
301,0
302,0
303,0
305,0
306,0
308,0
309,0
310,1
311,1
313,1
314,0
315,0
316,1
317,1
318,1
319,0
320,1
321,0
322,0
323,0
324,1
325,1
326,1
327,0
328,1
329,1
330,0
331,1
332,0
334,0
335,0
336,0
338,0
339,0
340,0
341,0
343,0
344,1
345,1
346,1
347,1
348,1
349,1
351,1
352,1
353,0
354,1
355,0
356,0
357,0
359,0
360,1
361,0
362,1
363,0
364,1
365,1
368,0
369,0
370,0
371,0
372,1
374,0
375,1
376,1
377,1
379,1
380,1
381,0
382,0
383,1
385,1
386,1
387,1
388,1
389,0
390,0
391,0
392,0
393,0
394,0
398,1
399,1
400,1
401,0
402,1
403,1
405,1
406,0
407,1
408,0
409,0
411,0
412,1
413,0
414,0
415,1
416,0
417,0
419,0
420,1
422,0
423,0
424,0
425,0
426,0
429,1
430,1
431,1
432,1
433,0
435,0
437,1
438,1
439,1
440,0
441,1
442,1
443,0
444,1
445,1
446,1
447,1
448,0
449,1
450,0
451,0
452,0
453,0
454,1
455,1
