,kepid
0,10797460
1,10797460
4,10854555
5,10872983
6,10872983
7,10872983
8,6721123
9,10910878
10,11446443
12,6922244
13,10984090
14,10419211
16,10480982
17,10485250
18,10526549
19,10583066
20,10583180
21,10601284
22,10601284
23,10601284
24,2306756
25,10662202
26,10682541
27,11460018
29,11465813
30,11493732
31,11507101
32,10910878
33,10910878
34,10987985
35,11018648
36,11018648
37,11138155
38,11152159
39,11153539
40,11242721
41,9579641
42,11304958
43,11391957
44,11403044
45,11414511
46,11442465
47,12110942
48,12366084
49,12366084
50,12404086
52,9579641
53,11656840
59,11853255
60,11909839
64,11923270
65,11960862
66,12020329
69,12070811
71,3120431
72,3246984
73,3342970
74,3342970
75,12459725
76,12470844
77,12470844
79,2440757
80,2445129
81,2713049
82,3114167
83,3114661
85,4139816
86,4139816
88,4139816
89,4275191
90,4476123
93,3554600
94,3641726
95,3734868
96,3832474
98,3832474
99,3832474
101,3838486
102,3935914
103,3940418
104,4049131
105,4139816
106,5287983
107,5358241
108,10875245
109,5358241
110,5358241
111,5358624
113,4664847
116,4913852
117,4932348
120,10875245
121,5021899
122,5077629
124,5164255
125,5252423
126,5252423
127,5272878
129,5649215
130,5651104
131,5792202
132,10875245
133,5792202
134,5370302
135,5372966
136,5376067
137,5436502
138,5436502
139,5436502
140,5436502
141,10875245
142,5436502
143,5456651
144,5456651
145,5481416
146,5531576
147,5531576
148,5534814
149,6291653
150,6392727
151,6422070
152,6428700
153,6428700
154,5792202
155,5794379
156,5794379
158,6022556
159,6032497
160,6061119
161,6191521
162,6267425
164,6276477
165,6863998
167,6948054
168,6948054
169,6948054
170,6435936
171,6522242
174,9471974
177,6675056
178,6685526
180,6784235
181,6849310
182,6849310
183,6849310
185,9471974
186,6862603
187,7366258
188,7366258
189,7366258
190,7366258
191,7373451
192,6948054
193,6949607
194,6949607
196,11869052
197,7109675
198,7109675
199,7118364
202,7135852
203,7270230
204,7287995
205,7287995
206,7287995
207,3247396
208,7303253
209,5094751
210,7678434
211,7678434
212,7685981
213,7708215
214,7373451
217,7434875
218,8349582
219,7434875
220,7434875
224,7458762
225,7552344
226,757450
227,7585481
228,7663691
232,8039892
233,8150320
234,8150320
236,7767559
239,7849854
240,7870390
241,7870390
242,5094751
243,7870390
244,7907423
245,7907423
246,7907423
247,7938496
250,8505670
251,8505670
254,8150320
255,8150320
256,8150320
257,8180063
258,8226994
259,8226994
260,8226994
261,8247638
262,8247638
263,8247638
265,8247638
266,8255887
267,8256049
268,8414716
271,9159275
272,9166862
273,9166870
276,8628973
277,8655354
278,8672910
280,8689031
281,8689373
282,8689373
283,8689373
284,8826878
285,5897826
286,8883593
288,9016295
289,9077124
290,9097120
291,9466668
292,9466668
293,9466668
294,9466668
295,9479273
307,11359879
312,9904059
313,3231341
314,3231341
315,3231341
320,10482160
321,10485069
323,6579806
324,3560301
325,4044005
328,5802246
329,6066403
330,6209637
331,5988031
333,8559644
334,2851100
335,3130300
336,3240158
337,3240158
338,3228959
339,3218908
340,10341913
341,10480921
343,10350571
344,10350571
345,3749365
347,11673674
350,3632418
351,3441784
352,5820218
353,5876368
356,6131236
358,3218908
359,3218908
360,3235672
362,3120276
364,3547091
365,3869825
366,3655332
367,4042026
368,3344419
369,11192141
370,11494130
372,12167361
375,9032900
380,5956656
381,3109930
384,3337425
385,3116412
388,4037164
389,3443790
390,3966912
391,8394721
393,1161345
394,10227501
397,8559644
398,6032981
399,5866099
400,5964985
401,6066416
402,1996679
408,3554031
410,3554031
411,8394721
412,7295235
413,2302548
414,2302548
415,10743597
416,10743597
417,9818381
418,6124941
419,6060203
424,6307537
425,6359798
426,6311681
427,6365321
428,6301035
430,3557493
431,4061149
432,3444588
433,8394721
434,3962243
436,10015516
437,10154388
438,1432789
442,6037187
443,6147122
444,8257407
445,8218274
447,5735762
448,6292162
449,6307521
450,6359320
451,3848972
452,3860441
453,3765771
455,3859628
459,3858949
460,3858824
461,2157247
462,7601633
463,8242681
465,8246781
467,8222813
468,6359320
470,6362874
472,8279765
473,8330548
475,3853673
476,3447722
477,3447722
478,3447722
480,1432214
483,2441728
484,1871056
485,8222813
487,8240904
488,8240904
490,8374494
491,5735762
492,8414907
493,8414907
494,8397446
495,8386035
496,3962243
497,3962243
498,3438507
499,3869014
501,1871056
502,1865042
503,2438502
504,2309585
505,5780460
506,8244190
508,8262210
509,10272640
511,10223616
512,8415745
513,8378634
514,8397675
515,8346392
516,8288947
518,9480189
519,11974540
520,9480189
521,9480189
522,9512687
524,5738346
525,1725016
526,1722276
527,892772
528,1027438
529,10268907
530,5446285
534,10153827
535,5735762
538,8351704
540,9513865
541,9595686
542,9605514
543,9605514
544,9661877
545,5728283
546,8127639
547,6047498
548,8125580
549,8158127
550,10158990
552,10141900
553,10141900
554,10141900
555,8410727
556,8410727
557,8349405
558,8278371
561,9710326
564,9766437
566,9775938
568,8158127
569,8176653
570,8174625
571,8183911
572,8179973
573,10157458
574,4649305
575,10148521
576,10118816
577,10122255
578,3124412
579,3835670
580,10287248
584,10514770
585,9775938
586,9787239
587,9787239
588,9787239
589,9787239
590,9787239
591,2309719
592,2558363
593,2716853
594,2445154
597,3113266
598,3247268
599,3247268
600,3232859
601,3098184
602,2720309
603,10342065
604,10352945
606,10330115
607,10426656
608,9820483
610,7778437
611,9823457
612,9823457
613,2574201
614,2166206
615,2164169
616,2574338
617,2584163
618,4180280
619,3239636
620,2721030
623,3340070
625,10426656
626,10426656
627,10528068
628,10468940
629,9825625
630,9875711
632,1026957
633,10002261
636,5899544
637,5963222
638,5982353
639,6205468
641,3240706
642,2853093
643,3228824
644,3245969
645,3231341
646,10468940
647,10341831
648,10337517
649,10337517
650,10351231
651,10485179
652,8561063
653,8561063
654,8892910
655,8561063
656,10657664
657,3337351
658,6153201
659,5802486
660,5817553
661,5982368
662,5816811
663,5816165
664,7102227
665,7102227
666,7102227
667,6960913
671,11129738
672,11401182
673,11030711
681,10730034
682,10730034
683,10858691
684,10858691
685,10858691
686,8107380
687,6936909
688,6936909
689,6962977
690,6962977
695,11014932
697,6677256
700,6693640
701,10858691
702,10973814
703,10973814
704,6541920
705,10586208
706,6962977
707,6962977
708,6962977
709,7174351
710,6932987
711,11014932
712,11014932
713,11014932
714,11288505
715,11493431
717,8801343
718,8488878
719,8560285
720,8620565
722,10854768
723,10964440
724,10713616
725,10963242
726,10785538
727,6932987
729,6851425
733,11037335
734,11037335
735,11389771
736,11389771
737,8737796
740,8454250
743,10585852
745,10794087
747,6541920
749,7287415
750,6924203
751,6878167
752,6880531
753,6863839
754,7296086
755,11389771
757,11193263
758,11027624
759,11032227
764,8823426
765,4070376
766,4078157
767,4164994
768,4480676
769,4079535
770,6766634
771,6774826
773,7211469
775,7255336
776,7831264
777,7802136
778,7532973
779,9632895
780,7449844
781,8766222
782,8678594
784,8678594
785,8703884
786,8560840
787,4076098
788,4551328
789,4282872
790,4639868
792,4372768
794,7211221
795,7025526
796,9451127
797,9446824
800,11600889
801,11197126
802,11043167
803,8612847
805,8547140
806,8519253
808,8757910
810,4072526
811,4150539
813,4455231
815,8971432
817,9527915
818,9143254
819,8949247
820,11336883
823,12506351
826,9705459
827,8564587
829,8564587
831,8552498
832,8806072
833,4455231
834,4455231
835,4285107
836,4150624
838,9346253
840,9288786
841,8958035
844,7842610
845,7830637
847,7832356
848,9643874
849,8800954
850,8583696
851,8804283
852,8804283
853,8552565
855,4077526
856,4077526
857,4077526
858,4077526
859,8937021
860,8935810
861,2441495
862,9455556
863,9455556
865,3732821
868,3962357
869,9110357
870,8394721
872,6541920
876,4243911
877,4466677
880,4135665
881,9269281
885,9034103
886,9214942
887,3858704
888,3749134
890,3660924
891,3939150
892,8628758
893,8628758
894,8509361
896,8822366
898,4386059
899,4650674
900,4275721
901,4275721
902,8874090
904,9264949
905,9271752
906,9007866
908,3939150
909,3839488
910,3542588
911,3442055
912,3440861
913,12252424
915,10960993
916,6541920
917,10599397
918,10879208
919,10843203
920,4570931
921,4136466
922,7284688
924,7037540
925,6866228
926,9391208
927,9391506
928,8950853
929,9006449
930,9006449
931,9006449
933,3640905
934,3640905
935,4060815
936,6613006
937,6606653
938,10790387
941,10661771
942,10924853
943,10874926
944,6631721
946,7220322
947,6956233
951,8916492
952,11193447
953,11517719
955,11100657
957,6621116
959,6387450
960,12252424
961,6432059
963,10549562
964,10874614
965,6541920
966,10666230
967,10971674
968,6891543
969,7211141
972,7376983
973,5084942
974,11125936
977,11497958
978,11497958
980,6462874
981,6665223
982,6545358
983,6390824
984,6546528
985,10676923
986,10604335
987,10604335
988,10864656
989,10975146
991,7376983
992,7376983
993,7376983
994,6946199
996,11497958
997,11177707
998,11611600
1001,6677841
1002,6677841
1003,6677841
1004,9970525
1006,6383821
1008,10724369
1009,6541920
1011,10744335
1013,5177104
1017,8230616
1019,9838949
1020,9895006
1021,9896558
1024,9602514
1025,9726659
1027,5371776
1028,5371776
1029,5371776
1030,9573539
1031,5371776
1032,9886661
1033,5477805
1034,10055126
1035,10055126
1036,5009743
1037,10015937
1038,10019065
1039,7950644
1040,10080248
1042,9842906
1043,11821363
1044,7629518
1045,10810838
1047,10019763
1048,9899280
1050,4940438
1052,5474733
1053,10963065
1054,6268648
1055,10125352
1056,5357901
1057,4278221
1058,10214162
1059,10905746
1061,6185331
1062,11820830
1063,11774387
1064,9636135
1065,9636135
1066,7841925
1068,7841925
1069,5219234
1070,5219234
1071,5219234
1072,5219234
1073,12504988
1074,9015738
1075,7215603
1077,5561278
1079,6387542
1081,6869184
1083,10799735
1084,6604328
1085,9719634
1086,7439316
1087,12061238
1088,8323753
1090,5184584
1091,5636648
1092,5564247
1093,5438099
1094,5438099
1095,6543893
1096,6543893
1098,11391018
1100,4365645
1102,8197343
1103,7032421
1104,6786348
1105,6209677
1107,9813499
1108,12254792
1109,12020218
1111,9535080
1112,5438099
1113,5438099
1114,5210475
1115,8009350
1116,8082001
1118,9277896
1119,9401997
1120,10686864
1123,8043714
1124,7918217
1126,9631995
1128,7901948
1129,11955499
1130,6442377
1131,9784222
1132,5376836
1133,5557821
1134,10004519
1135,5031857
1137,10879038
1138,10990917
1139,11043136
1141,5771719
1142,9729691
1143,9729691
1144,4950232
1145,10904857
1146,8651389
1147,9520668
1148,7871954
1149,7871954
1150,12418724
1152,10028792
1153,10028792
1155,5553652
1156,5299459
1157,11153121
1158,11153121
1161,11337141
1163,3967760
1164,3967760
1165,4067336
1166,5387843
1167,7549209
1168,7663405
1169,9765975
1170,9818462
1171,6803202
1172,5299459
1173,9651668
1175,12506770
1176,5629985
1177,9898364
1178,11337372
1179,11337833
1180,11546211
1181,11547505
1183,11502867
1189,9850893
1190,4826110
1192,9824805
1193,5193400
1194,7939330
1195,7939330
1197,12602568
1198,9941066
1199,5972334
1202,4832197
1203,4844004
1205,7831264
1206,9761199
1207,7751571
1208,9579499
1209,11913013
1212,9821454
1213,9821454
1214,11954842
1216,5470739
1219,5617854
1222,5183357
1223,5269467
1225,7672940
1229,7770450
1231,11764462
1232,11656246
1233,7808587
1234,4741126
1240,5526717
1241,5972334
1245,6034945
1246,9851226
1248,7543649
1249,9480310
1251,4741126
1252,11669125
1253,12159249
1255,9963461
1256,8081482
1259,5542466
1261,10028140
1265,6198999
1266,6310636
1267,6616218
1268,7761545
1270,12365184
1274,10748390
1275,11804465
1276,9663113
1277,5649956
1278,4840513
1283,10006581
1285,6616218
1286,6696462
1288,7222086
1289,12406749
1292,12403119
1293,9842890
1294,8113154
1295,5270698
1296,5024450
1297,5282049
1299,10027323
1300,10027323
1301,12019440
1305,7304449
1306,7386827
1307,7522911
1308,7626370
1309,7703955
1310,7512982
1312,9597806
1313,7812167
1314,11760959
1316,9940565
1318,9663113
1319,8111381
1320,5444549
1322,5474613
1323,4860932
1324,5438757
1325,5438757
1327,5972334
1328,7815744
1329,7955580
1330,8230616
1331,9692345
1332,7898352
1334,7898352
1335,12062667
1337,7951018
1338,9899355
1339,12644774
1340,9902856
1341,7747425
1342,9892816
1343,9892816
1347,2304320
1348,3657758
1349,9790806
1353,10019708
1355,7697568
1356,7046804
1357,7449136
1358,8680979
1359,8680979
1360,9030537
1361,6949061
1362,7269493
1364,9164836
1366,11657891
1367,6305192
1369,9634821
1371,8950568
1373,11601584
1374,11601584
1375,11601584
1376,11601584
1377,8689793
1378,11673802
1379,4263293
1380,4263293
1381,4263293
1382,5695524
1383,6205897
1384,7948784
1386,9650808
1387,9650808
1388,8950568
1389,8950568
1390,8950568
1391,8804845
1392,10480915
1393,11709244
1394,11709244
1395,11709244
1396,10019708
1397,11853878
1398,5728139
1399,7668663
1400,7047922
1401,9353314
1402,3629967
1403,9347009
1405,4917596
1406,4743513
1407,11046458
1409,7132798
1410,3448130
1412,6026438
1413,9471268
1414,9471268
1415,9471268
1416,10657406
1417,5526527
1418,5809954
1419,8766650
1420,10328393
1424,8543100
1426,9412760
1427,9412760
1428,6026438
1429,10663396
1430,11457726
1432,9649706
1433,5856571
1434,7765528
1435,11760231
1436,7779077
1437,6046540
1439,3762468
1441,10130039
1442,10130039
1445,7273277
1446,11769890
1447,6862721
1448,12301181
1449,9279354
1450,6774880
1451,3937519
1453,5080636
1455,3338885
1456,3338885
1458,10130039
1459,8226050
1460,9965957
1461,9704384
1462,8426567
1463,12508335
1464,10094670
1466,8257205
1467,9044228
1468,7265298
1469,7265298
1470,7132798
1473,7430034
1476,10464050
1477,9763348
1478,9101496
1479,6037581
1480,10723750
1481,6037581
1482,6037581
1483,10779233
1485,11450414
1487,10384798
1490,10134152
1491,9573685
1492,10329835
1493,6849046
1495,9662811
1498,10074466
1499,8218379
1500,7755636
1501,9411166
1504,9834040
1506,8802693
1507,6061773
1510,3239671
1511,9304101
1512,11360571
1513,6035124
1514,8160953
1521,10723750
1522,7219761
1523,5770074
1524,10136549
1525,9851271
1527,6665512
1528,10525027
1529,11069176
1530,10005758
1532,3128793
1533,5864975
1534,2975770
1536,7877496
1538,11126381
1540,10136549
1541,5511081
1542,5511081
1543,5511081
1544,5511081
1545,10978763
1546,11069176
1547,8098728
1550,5631630
1551,6504954
1552,9410930
1554,6153672
1555,10676014
1556,9520838
1557,8167996
1558,8167996
1559,8167996
1560,6773862
1561,10978763
1563,10978763
1565,9072190
1566,5384079
1569,6707908
1570,8492026
1571,6867766
1573,11017901
1575,11298298
1576,10187159
1577,9758089
1580,4939346
1582,5396122
1583,10190777
1585,7045496
1588,6226290
1589,9595827
1590,9349482
1592,4644952
1593,2987027
1594,4644952
1595,4644952
1596,8978528
1597,8978528
1598,9967771
1599,11622600
1600,10454632
1604,5213902
1605,2832589
1606,2438513
1607,6356207
1608,8564674
1609,8564674
1610,8578780
1611,4544907
1612,7761918
1613,8240797
1614,8240797
1615,8164262
1616,6279974
1617,9455325
1619,8367644
1622,9305831
1623,2438513
1627,9536692
1628,4636578
1629,4636578
1630,4636578
1631,11923284
1632,9838975
1633,5621125
1634,9872283
1635,10666242
1638,9597058
1639,4035640
1640,6205228
1641,11758544
1644,3118797
1645,7747425
1647,7747425
1648,7747425
1649,7102316
1650,7102316
1653,5940165
1654,8277797
1655,8277797
1659,11413812
1660,9549648
1661,10063802
1662,11074178
1663,11074178
1665,5942808
1667,8959839
1668,7672097
1669,6142862
1671,8099138
1672,7033233
1674,6383785
1675,9411412
1676,7008211
1677,7620413
1678,4545187
1679,10854546
1683,8261920
1684,8261920
1685,9112931
1686,9071593
1687,8126558
1688,11811193
1689,3734418
1690,8681734
1691,10232693
1692,10212441
1694,8247771
1695,8165946
1696,12017109
1697,9225395
1698,10709622
1699,11499228
1700,9022166
1701,10965588
1702,10670119
1703,10670119
1704,4043443
1707,8613535
1708,12256520
1709,3337432
1710,5629538
1712,8235924
1713,6941084
1714,6200235
1715,11460462
1716,8612275
1717,8612275
1718,7207061
1719,4545187
1720,7286911
1721,8591173
1725,10489345
1726,11774303
1729,9717943
1730,8026752
1731,1872821
1735,7207061
1736,6921944
1738,8164012
1740,8611781
1744,5601258
1745,7960980
1747,3458028
1748,3342794
1749,3342794
1750,5716932
1751,11288051
1753,11566256
1754,8495415
1756,4857213
1757,9415108
1758,4262581
1759,8591693
1760,4833421
1761,8282651
1763,11401767
1764,10909127
1767,2439243
1768,9221517
1769,6751874
1770,10863608
1771,5602588
1772,11288051
1775,5547480
1779,7019489
1780,2141783
1781,4144576
1783,9992325
1786,9945370
1789,8973129
1790,12505654
1792,11670125
1793,11461844
1795,9351920
1796,2161536
1797,10549023
1798,9661979
1799,8219268
1801,4833421
1803,4142847
1804,10203349
1805,9718066
1808,12121570
1809,8410415
1810,7987866
1812,11560897
1813,11342416
1814,9086251
1815,4254466
1816,5801571
1817,9904006
1818,5288570
1819,9364609
1820,7457296
1821,10328458
1822,7050060
1823,4248120
1825,8321314
1828,11498128
1831,12254909
1833,9364290
1834,9364290
1835,5022828
1836,8233702
1837,11403339
1838,8260902
1839,8381204
1842,4833421
1843,5357545
1844,6871071
1845,5342473
1847,9963265
1848,10583761
1850,12058147
1851,8164257
1852,8164257
1853,8164257
1854,10593759
1855,6774537
1856,10404582
1857,5959753
1858,6021193
1859,6021193
1860,6871071
1861,6871071
1862,6287313
1865,4458082
1866,8042453
1868,6666233
1869,7661065
1870,3937519
1872,10857519
1873,9517393
1874,9351316
1875,6021193
1878,7989422
1880,8892157
1882,11569782
1883,4833421
1885,7219825
1886,3749978
1887,10010440
1888,11718144
