,label
0,1
1,1
4,1
5,1
6,1
7,1
8,0
9,1
10,1
12,1
13,1
14,0
16,0
17,0
18,1
19,1
20,0
21,1
22,1
23,1
24,0
25,1
26,1
27,1
29,0
30,0
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,0
39,1
40,0
41,1
42,1
43,1
44,1
45,1
46,0
47,1
48,1
49,1
50,1
52,1
53,0
59,1
60,0
64,1
65,1
66,1
69,1
71,0
72,0
73,1
74,1
75,0
76,1
77,1
79,0
80,0
81,1
82,1
83,0
85,1
86,1
88,1
89,1
90,1
93,0
94,1
95,0
96,1
98,1
99,1
101,0
102,1
103,1
104,1
105,1
106,0
107,1
108,1
109,1
110,1
111,1
113,1
116,1
117,0
120,1
121,1
122,0
124,1
125,1
126,1
127,1
129,0
130,1
131,1
132,1
133,1
134,0
135,0
136,0
137,1
138,1
139,1
140,1
141,1
142,1
143,1
144,1
145,0
146,1
147,1
148,0
149,1
150,1
151,1
152,1
153,1
154,1
155,1
156,1
158,1
159,1
160,1
161,1
162,0
164,1
165,1
167,1
168,1
169,1
170,1
171,1
174,1
177,0
178,1
180,1
181,1
182,1
183,1
185,1
186,0
187,1
188,1
189,1
190,1
191,1
192,1
193,1
194,1
196,0
197,1
198,1
199,1
202,1
203,0
204,1
205,1
206,1
207,0
208,1
209,1
210,1
211,1
212,1
213,0
214,1
217,1
218,1
219,1
220,1
224,1
225,0
226,1
227,1
228,1
232,1
233,1
234,1
236,0
239,1
240,1
241,1
242,1
243,1
244,1
245,1
246,1
247,1
250,1
251,1
254,1
255,1
256,1
257,0
258,1
259,1
260,1
261,1
262,1
263,1
265,1
266,1
267,0
268,1
271,0
272,1
273,0
276,1
277,0
278,1
280,1
281,1
282,1
283,1
284,1
285,0
286,1
288,0
289,1
290,0
291,1
292,1
293,1
294,1
295,1
307,1
312,0
313,1
314,1
315,1
320,1
321,0
323,0
324,0
325,0
328,0
329,0
330,0
331,0
333,1
334,0
335,0
336,1
337,1
338,0
339,1
340,0
341,0
343,1
344,1
345,1
347,0
350,1
351,0
352,0
353,0
356,1
358,1
359,1
360,0
362,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
372,0
375,1
380,1
381,1
384,0
385,1
388,0
389,0
390,0
391,1
393,1
394,0
397,1
398,0
399,0
400,0
401,0
402,0
408,1
410,1
411,1
412,1
413,1
414,1
415,0
416,0
417,1
418,0
419,1
424,0
425,0
426,0
427,0
428,0
430,0
431,1
432,1
433,1
434,1
436,0
437,1
438,1
442,1
443,0
444,0
445,0
447,1
448,0
449,0
450,1
451,0
452,0
453,0
455,1
459,0
460,0
461,0
462,0
463,0
465,0
467,1
468,1
470,1
472,0
473,0
475,0
476,1
477,1
478,1
480,0
483,0
484,1
485,1
487,1
488,1
490,0
491,1
492,0
493,0
494,0
495,0
496,1
497,1
498,1
499,1
501,1
502,1
503,0
504,0
505,1
506,0
508,0
509,1
511,0
512,0
513,0
514,0
515,1
516,1
518,1
519,1
520,1
521,1
522,1
524,0
525,1
526,0
527,0
528,0
529,0
530,1
534,0
535,1
538,1
540,1
541,0
542,1
543,1
544,0
545,0
546,0
547,0
548,1
549,1
550,0
552,1
553,1
554,1
555,1
556,1
557,0
558,1
561,1
564,1
566,1
568,1
569,0
570,1
571,0
572,0
573,1
574,0
575,0
576,1
577,1
578,0
579,1
580,0
584,0
585,1
586,1
587,1
588,1
589,1
590,1
591,0
592,0
593,1
594,0
597,0
598,1
599,1
600,0
601,0
602,0
603,0
604,0
606,1
607,1
608,1
610,1
611,1
612,1
613,0
614,0
615,1
616,1
617,1
618,1
619,0
620,1
623,0
625,1
626,1
627,1
628,1
629,1
630,1
632,1
633,0
636,0
637,0
638,0
639,0
641,0
642,1
643,0
644,1
645,1
646,1
647,0
648,1
649,1
650,1
651,0
652,1
653,1
654,0
655,1
656,0
657,0
658,0
659,0
660,0
661,0
662,0
663,0
664,1
665,1
666,1
667,1
671,1
672,1
673,1
681,1
682,1
683,1
684,1
685,1
686,1
687,1
688,1
689,1
690,1
695,1
697,0
700,1
701,1
702,1
703,1
704,1
705,1
706,1
707,1
708,1
709,0
710,1
711,1
712,1
713,1
714,1
715,1
717,0
718,0
719,0
720,0
722,1
723,1
724,1
725,1
726,0
727,1
729,1
733,1
734,1
735,1
736,1
737,0
740,0
743,1
745,1
747,1
749,1
750,1
751,0
752,0
753,0
754,0
755,1
757,1
758,1
759,1
764,0
765,0
766,0
767,1
768,0
769,0
770,1
771,0
773,1
775,0
776,1
777,0
778,1
779,0
780,0
781,0
782,1
784,1
785,0
786,0
787,1
788,0
789,1
790,0
792,0
794,1
795,0
796,0
797,0
800,1
801,0
802,1
803,1
805,1
806,0
808,0
810,1
811,0
813,1
815,0
817,1
818,0
819,0
820,1
823,0
826,0
827,1
829,1
831,0
832,1
833,1
834,1
835,0
836,0
838,0
840,0
841,0
844,0
845,0
847,1
848,1
849,1
850,1
851,1
852,1
853,0
855,1
856,1
857,1
858,1
859,0
860,1
861,1
862,1
863,1
865,1
868,1
869,0
870,1
872,1
876,1
877,1
880,1
881,1
885,1
886,1
887,0
888,1
890,1
891,1
892,1
893,1
894,0
896,1
898,0
899,1
900,1
901,1
902,1
904,1
905,1
906,0
908,1
909,1
910,0
911,1
912,0
913,1
915,0
916,1
917,0
918,0
919,0
920,0
921,1
922,0
924,0
925,0
926,1
927,1
928,1
929,1
930,1
931,1
933,1
934,1
935,0
936,0
937,0
938,1
941,0
942,0
943,0
944,0
946,0
947,0
951,0
952,0
953,1
955,0
957,0
959,0
960,1
961,0
963,0
964,1
965,1
966,0
967,0
968,0
969,1
972,1
973,1
974,0
977,1
978,1
980,0
981,0
982,0
983,0
984,0
985,0
986,1
987,1
988,1
989,1
991,1
992,1
993,1
994,1
996,1
997,1
998,1
1001,1
1002,1
1003,1
1004,0
1006,1
1008,1
1009,1
1011,1
1013,1
1017,1
1019,1
1020,1
1021,1
1024,0
1025,1
1027,1
1028,1
1029,1
1030,1
1031,1
1032,1
1033,0
1034,1
1035,1
1036,1
1037,1
1038,1
1039,1
1040,1
1042,0
1043,1
1044,1
1045,1
1047,0
1048,0
1050,0
1052,0
1053,1
1054,1
1055,0
1056,1
1057,1
1058,1
1059,1
1061,1
1062,0
1063,0
1064,1
1065,1
1066,1
1068,1
1069,1
1070,1
1071,1
1072,1
1073,0
1074,1
1075,1
1077,1
1079,1
1081,1
1083,0
1084,1
1085,0
1086,1
1087,0
1088,0
